Player,Session,Total Distance (m),RPE,Avg Speed (m/min),Top Speed (m/s),HSD (m),HSD Ratio
Jason,9/6 Training Total,2760.0,6.0,53.07692307692308,7.5,18.0,0.006521739130434782
Jason,9/6 Game 1,490.0,6.0,70.0,6.9,7.0,0.014285714285714285
Jason,9/6 Game 2,560.0,6.0,70.0,5.4,0.0,0.0
Jason,9/6 Game 3,480.0,6.0,80.0,5.4,0.0,0.0
Jason,9/6 Game 4,950.0,6.0,73.07692307692308,6.6,8.0,0.008421052631578947
Jason,9/6 Game Total,2480.0,6.0,72.94117647058823,6.9,15.0,0.006048387096774193
Mason,3/8 Training 1 ,3390.0,7.5,45.810810810810814,8.9,104.0,0.030678466076696165
Mason,3/8 Training 2,390.0,7.5,39.0,6.5,6.0,0.015384615384615385
Mason,3/8 Training Total,3780.0,7.5,45.0,8.9,110.0,0.0291005291005291
Mason,3/8 Game 1,670.0,7.5,74.44444444444444,7.6,17.0,0.025373134328358207
Mason,3/8 Game 2,610.0,7.5,67.77777777777777,7.6,32.0,0.05245901639344262
Mason,3/8 Game Total,1280.0,7.5,71.11111111111111,7.6,49.0,0.03828125
Mason,3/29 Training 1,2210.0,7.0,53.90243902439025,6.0,0.0,0.0
Mason,3/29 Training 2,710.0,7.0,47.333333333333336,6.1,1.0,0.0014084507042253522
Mason,3/29 Training 3,800.0,7.0,57.142857142857146,7.4,11.0,0.01375
Mason,3/29 Training 4,1150.0,7.0,54.76190476190476,7.3,15.0,0.013043478260869565
Mason,3/29 Training 5,750.0,7.0,57.69230769230769,6.9,4.0,0.005333333333333333
Mason,3/29 Training 6,490.0,7.0,61.25,7.7,1.0,0.0020408163265306124
Mason,3/29 Training Total,6110.0,7.0,54.55357142857143,7.7,32.0,0.005237315875613748
Mason,3/29 Game 1,540.0,7.0,90.0,6.8,17.0,0.03148148148148148
Mason,3/29 Game 2,540.0,7.0,77.14285714285714,8.1,25.0,0.046296296296296294
Mason,3/29 Game Total,1080.0,7.0,83.07692307692308,8.1,42.0,0.03888888888888889
Mason,5/31 Training 1,650.0,5.0,54.166666666666664,6.1,1.0,0.0015384615384615385
Mason,5/31 Training 2,770.0,5.0,42.77777777777778,6.2,1.0,0.0012987012987012987
Mason,5/31 Training 3,430.0,5.0,43.0,3.6,0.0,0.0
Mason,5/31 Training 4,630.0,5.0,39.375,5.0,0.0,0.0
Mason,5/31 Training 5,510.0,5.0,56.666666666666664,6.5,9.0,0.01764705882352941
Mason,5/31 Training 6,480.0,5.0,48.0,5.4,0.0,0.0
Mason,5/31 Training 7,660.0,5.0,55.0,6.1,1.0,0.0015151515151515152
